09a18c lda $7ef3cc   [7ef3cc] A:0100 X:0010 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZC V: 38 H:174 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0156 D:0000 DB:09 nvMXdIZc V: 42 H: 98 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0156 D:0000 DB:09 nvMXdIZc V: 42 H:103 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0152 D:0000 DB:09 nvMXdIZc V: 42 H:119 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0152 D:0000 DB:09 nvMXdIZc V: 42 H:127 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0152 D:0000 DB:09 nvMXdIZc V: 42 H:132 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:014e D:0000 DB:09 nvMXdIZc V: 42 H:158 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:014e D:0000 DB:09 nvMXdIZc V: 42 H:166 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:014e D:0000 DB:09 nvMXdIZc V: 42 H:171 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:014a D:0000 DB:09 nvMXdIZc V: 42 H:187 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:014a D:0000 DB:09 nvMXdIZc V: 42 H:195 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:014a D:0000 DB:09 nvMXdIZc V: 42 H:200 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0146 D:0000 DB:09 nvMXdIZc V: 42 H:216 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0146 D:0000 DB:09 nvMXdIZc V: 42 H:224 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0146 D:0000 DB:09 nvMXdIZc V: 42 H:229 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0142 D:0000 DB:09 nvMXdIZc V: 42 H:245 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0142 D:0000 DB:09 nvMXdIZc V: 42 H:253 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0142 D:0000 DB:09 nvMXdIZc V: 42 H:258 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:013e D:0000 DB:09 nvMXdIZc V: 42 H:274 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:013e D:0000 DB:09 nvMXdIZc V: 42 H:282 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:013e D:0000 DB:09 nvMXdIZc V: 42 H:287 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:013a D:0000 DB:09 nvMXdIZc V: 42 H:303 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:013a D:0000 DB:09 nvMXdIZc V: 42 H:311 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:013a D:0000 DB:09 nvMXdIZc V: 42 H:316 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0136 D:0000 DB:09 nvMXdIZc V: 42 H:331 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0136 D:0000 DB:09 nvMXdIZc V: 42 H:339 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0136 D:0000 DB:09 nvMXdIZc V: 43 H:  4 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0132 D:0000 DB:09 nvMXdIZc V: 43 H: 20 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0132 D:0000 DB:09 nvMXdIZc V: 43 H: 28 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0132 D:0000 DB:09 nvMXdIZc V: 43 H: 33 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:012e D:0000 DB:09 nvMXdIZc V: 43 H: 49 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:012e D:0000 DB:09 nvMXdIZc V: 43 H: 57 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:012e D:0000 DB:09 nvMXdIZc V: 43 H: 62 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:012a D:0000 DB:09 nvMXdIZc V: 43 H: 78 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:012a D:0000 DB:09 nvMXdIZc V: 43 H: 86 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:012a D:0000 DB:09 nvMXdIZc V: 43 H: 91 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0126 D:0000 DB:09 nvMXdIZc V: 43 H:107 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0126 D:0000 DB:09 nvMXdIZc V: 43 H:115 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0126 D:0000 DB:09 nvMXdIZc V: 43 H:120 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0122 D:0000 DB:09 nvMXdIZc V: 43 H:146 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0122 D:0000 DB:09 nvMXdIZc V: 43 H:154 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0122 D:0000 DB:09 nvMXdIZc V: 43 H:159 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:011e D:0000 DB:09 nvMXdIZc V: 43 H:175 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:011e D:0000 DB:09 nvMXdIZc V: 43 H:183 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:011e D:0000 DB:09 nvMXdIZc V: 43 H:188 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:011a D:0000 DB:09 nvMXdIZc V: 43 H:204 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:011a D:0000 DB:09 nvMXdIZc V: 43 H:212 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:011a D:0000 DB:09 nvMXdIZc V: 43 H:217 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0116 D:0000 DB:09 nvMXdIZc V: 43 H:233 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0116 D:0000 DB:09 nvMXdIZc V: 43 H:241 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0116 D:0000 DB:09 nvMXdIZc V: 43 H:246 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0112 D:0000 DB:09 nvMXdIZc V: 43 H:262 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0112 D:0000 DB:09 nvMXdIZc V: 43 H:270 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0112 D:0000 DB:09 nvMXdIZc V: 43 H:275 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:010e D:0000 DB:09 nvMXdIZc V: 43 H:291 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:010e D:0000 DB:09 nvMXdIZc V: 43 H:299 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:010e D:0000 DB:09 nvMXdIZc V: 43 H:304 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:010a D:0000 DB:09 nvMXdIZc V: 43 H:320 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:010a D:0000 DB:09 nvMXdIZc V: 43 H:327 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:010a D:0000 DB:09 nvMXdIZc V: 43 H:332 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0106 D:0000 DB:09 nvMXdIZc V: 44 H:  8 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0106 D:0000 DB:09 nvMXdIZc V: 44 H: 16 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0106 D:0000 DB:09 nvMXdIZc V: 44 H: 21 F: 8
